ticker,as_of_date,fiscal_year_used,filing_date,days_since_filing,base_iv,bull_iv,bear_iv,current_price,upside_pct,conviction_score,roic_wacc_spread,implied_ev_ebitda,justified_ev_ebitda,ev_ebitda_gap_pct,moat_fingerprint_score,moat_components,rdcf_implied_growth,rdcf_growth_gap,beneish_m_score,beneish_flagged,price_momentum_180d,data_quality_warnings,cagr_window_used,cagr_data_density,return_6m,return_12m,return_24m
AAPL,2020-01-01,2019,2019-10-31,62,125.35454236794152,203.97543130031286,50.48827088656407,70.78545379638672,0.7709082254176395,17.0,0.25374369057071855,29.200915915811244,9.443107080436748,2.092299564865327,5.0,"{'roic_persistence': 5.0, 'gm_stability': 5.0, 'capex_intensity': 4.0}",0.11669306204349676,0.06420578060515829,-2.908,False,0.4476358794357491,Split adjustment applied: factor=4 (period_end=2019-09-28),11,2.2,0.23827798496463296,0.8131746409325036,1.3914131841688573
AAPL,2020-04-01,2019,2019-10-31,153,127.41274232815786,208.06797698907548,51.019180804259854,58.21010208129883,1.1888424478316073,17.0,0.25463046408418205,29.701374487755707,9.583707661278362,2.099152805730916,5.0,"{'roic_persistence': 5.0, 'gm_stability': 5.0, 'capex_intensity': 4.0}",0.0822416429567177,0.02975436151837922,-2.908,False,0.06694319195900267,Split adjustment applied: factor=4 (period_end=2019-09-28),11,2.2,0.9173802637044938,1.028135915177429,1.841554818335601
AAPL,2020-07-01,2019,2019-10-31,244,123.47626758201937,200.26169270671923,49.99966017610367,88.21656036376953,0.3996948767085571,16.0,0.2529104478494607,28.744206783923453,9.314702253465265,2.085896467944534,5.0,"{'roic_persistence': 5.0, 'gm_stability': 5.0, 'capex_intensity': 4.0}",0.1547325326347794,0.10224525119644093,-2.908,False,0.23041388789097939,Split adjustment applied: factor=4 (period_end=2019-09-28),11,2.2,0.5069368187643721,0.47215832674679253,0.5112686711025891
AAPL,2020-10-01,2019,2019-10-31,336,121.78655580642932,196.9378207829084,49.5567030746868,113.3875961303711,0.07407300236263274,14.0,0.2521404361302294,28.333347412358474,9.199107549185623,2.080010453282152,5.0,"{'roic_persistence': 5.0, 'gm_stability': 5.0, 'capex_intensity': 4.0}",0.19748517644058244,0.14499789500224397,-2.908,False,0.9438677437288525,Split adjustment applied: factor=4 (period_end=2019-09-28),11,2.2,0.029936807034398404,0.26607544278038014,0.3320969760406095
AAPL,2021-01-01,2020,2020-10-30,63,90.20144971102523,134.8936157254787,43.383100388996006,129.04669189453125,-0.3010169545086355,12.0,0.28666833617349347,19.424096421766244,9.575333933605569,1.0285555111133495,5.0,"{'roic_persistence': 5.0, 'gm_stability': 5.0, 'capex_intensity': 4.0}",0.1997066169566526,0.14506837534014871,-3.1928,False,0.4628397589114188,,12,2.4,0.035478155664685394,0.3674096072413531,0.008495360878134193
AAPL,2021-04-01,2020,2020-10-30,153,90.51717878912305,135.4729644029103,43.48093385068347,119.80144500732422,-0.24444000835224347,12.0,0.28687874637944055,19.495649054768435,9.607917786802615,1.029123217680688,5.0,"{'roic_persistence': 5.0, 'gm_stability': 5.0, 'capex_intensity': 4.0}",0.18716651604306922,0.13252827442656534,-3.1928,False,0.0918095035993467,,12,2.4,0.157431294087004,0.428930786369022,0.2986166953720766
AAPL,2021-07-01,2020,2020-10-30,244,90.05239986408542,134.6203818407961,43.336846999923516,133.9274444580078,-0.3276030896541087,12.0,0.2865684999464809,19.39031774968013,9.559950610241033,1.0282863939598579,5.0,"{'roic_persistence': 5.0, 'gm_stability': 5.0, 'capex_intensity': 4.0}",0.2059609150013211,0.15132267338481722,-3.1928,False,0.03782160156004277,,12,2.4,0.30997796644870856,0.037876995156355724,0.35583723906010084
AAPL,2021-10-01,2020,2020-10-30,336,89.89813103561418,134.33776006474588,43.28892800153671,139.38497924804688,-0.3550371674150543,12.0,0.28646482418445657,19.355356317132383,9.54402789908146,1.0280070974012125,5.0,"{'roic_persistence': 5.0, 'gm_stability': 5.0, 'capex_intensity': 4.0}",0.21268434515910825,0.15804610354260437,-3.1928,False,0.16346659457676327,,12,2.4,0.24960606406273023,0.06284507025601402,0.23338402628910704
AAPL,2022-01-03,2021,2021-10-29,66,128.27335055984588,188.22255064174126,63.5907066775847,178.10369873046875,-0.279782781187678,14.0,0.474113123432624,17.452535219535445,10.505262479240676,0.6613135801245511,5.0,"{'roic_persistence': 5.0, 'gm_stability': 5.0, 'capex_intensity': 4.0}",0.1686412099931698,0.07534247826909393,-2.1973,False,0.26270173855369294,D8: AR growth (63.0%) exceeds revenue growth (33.3%) by 29.8%. Investigate recognition timing.,13,2.6,-0.23459511160017424,-0.28376341777439806,0.07583092276317309
AAPL,2022-04-01,2021,2021-10-29,154,128.48372848604842,188.59825415971383,63.66008507199743,170.78622436523438,-0.24769266980643637,14.0,0.47421194769935826,17.482044644442038,10.521898548642923,0.6614914659766234,5.0,"{'roic_persistence': 5.0, 'gm_stability': 5.0, 'capex_intensity': 4.0}",0.16178339619868784,0.06848466447461196,-2.1973,False,0.22528428304535186,D8: AR growth (63.0%) exceeds revenue growth (33.3%) by 29.8%. Investigate recognition timing.,13,2.6,-0.1379231506115712,-0.08646195010545317,-0.005631465517626485
