,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
AccumulatedDepreciation,8629000000.0,9829000000.0,10962000000.0,12513000000.0,14793000000.0,17606000000.0,19800000000.0,24179000000.0,29223000000.0,35330000000.0,43197000000.0,51351000000.0,59660000000.0,68251000000.0,76421000000.0,93653000000.0
Goodwill,12394000000.0,12581000000.0,13452000000.0,14655000000.0,20127000000.0,16939000000.0,17872000000.0,35122000000.0,35683000000.0,42026000000.0,43351000000.0,49711000000.0,67524000000.0,67886000000.0,119220000000.0,119509000000.0
IntangibleAssetsNet,1158000000.0,744000000.0,3170000000.0,3083000000.0,6981000000.0,4835000000.0,3733000000.0,10106000000.0,8053000000.0,7750000000.0,7038000000.0,7800000000.0,11298000000.0,9366000000.0,27597000000.0,22604000000.0
TotalLiabilities,39938000000.0,51621000000.0,54908000000.0,63487000000.0,82600000000.0,96140000000.0,121697000000.0,168692000000.0,176130000000.0,184226000000.0,183007000000.0,191791000000.0,198298000000.0,205753000000.0,243686000000.0,275524000000.0
LiabilitiesCurrent,26147000000.0,28774000000.0,32688000000.0,37417000000.0,45625000000.0,49858000000.0,59357000000.0,64527000000.0,58488000000.0,69420000000.0,72310000000.0,88657000000.0,95082000000.0,104149000000.0,125286000000.0,141218000000.0
LongTermDebt,4939000000.0,11921000000.0,10713000000.0,12601000000.0,20645000000.0,27808000000.0,40783000000.0,76073000000.0,72242000000.0,66662000000.0,59578000000.0,50074000000.0,47032000000.0,41990000000.0,42688000000.0,40152000000.0
ShortTermDebt,1000000000.0,,,,2000000000.0,5000000000.0,12900000000.0,9100000000.0,,,,,,,6693000000.0,
LongTermInvestments,7754000000.0,10865000000.0,9776000000.0,10844000000.0,14597000000.0,12053000000.0,10431000000.0,6023000000.0,1862000000.0,2649000000.0,2965000000.0,5984000000.0,6891000000.0,9879000000.0,14600000000.0,15405000000.0
AccountsPayable,4025000000.0,4197000000.0,4175000000.0,4828000000.0,7432000000.0,6591000000.0,6898000000.0,7390000000.0,8617000000.0,9382000000.0,12530000000.0,15163000000.0,19000000000.0,18095000000.0,21996000000.0,27724000000.0
DeferredRevenue,13652000000.0,15722000000.0,18653000000.0,20639000000.0,23150000000.0,23223000000.0,27468000000.0,34102000000.0,28905000000.0,32676000000.0,36000000000.0,41525000000.0,45538000000.0,50901000000.0,57582000000.0,64555000000.0
DeferredRevenueNoncurrent,1178000000.0,1398000000.0,1406000000.0,1760000000.0,2008000000.0,2095000000.0,6441000000.0,10377000000.0,3815000000.0,4530000000.0,3180000000.0,2616000000.0,2870000000.0,2912000000.0,2602000000.0,2710000000.0
TotalEquity,46175000000.0,57083000000.0,66363000000.0,78944000000.0,89784000000.0,80083000000.0,71997000000.0,72394000000.0,82718000000.0,102330000000.0,118304000000.0,141988000000.0,166542000000.0,206223000000.0,268477000000.0,343479000000.0
EquityParentOnly,46175000000.0,57083000000.0,66363000000.0,78944000000.0,89784000000.0,80083000000.0,71997000000.0,72394000000.0,82718000000.0,102330000000.0,118304000000.0,141988000000.0,166542000000.0,206223000000.0,268477000000.0,343479000000.0
OperatingCF,24073000000.0,26994000000.0,31626000000.0,28833000000.0,32231000000.0,29080000000.0,33325000000.0,39507000000.0,43884000000.0,52185000000.0,60675000000.0,76740000000.0,89035000000.0,87582000000.0,118548000000.0,136162000000.0
