series_id,description,usage
DGS10,10-Year Treasury Constant Maturity Rate,Risk Free Rate
T10Y2Y,10-Year Minus 2-Year Treasury Yield Spread,Recession Indicator
BAMLC0A0CM,ICE BofA US Corporate Index Option-Adjusted Spread,Credit Spread
CPIAUCSL,Consumer Price Index for All Urban Consumers,Inflation
UNRATE,Unemployment Rate,Economic Health
GDP,Gross Domestic Product,Economic Health
